pid,label,localisation,latitude,longitude,country,city,inventory,juz,sura_number,sura_title_arabic,sura_title_english,verse_recto,verse_verso,bibliography,link,comments,acquisition,latest_acquisition_date,price,provenance,order,layout,collection,thumbnail,full,manifest
f136,"Blue Qur'an, Sura al-Furqan, -60, Aga Khan Museum",Aga Khan Museum,43.7252521,-79.3322231,Canada,Toronto,AKM477,19,25,al-Furqan,The Criterion,"",60,"",https://www.agakhanmuseum.org/collection/artifact/two-folios-from-a-manuscript-known-as-the-blue-qur-an-,"Bifolium
chapters 25 and 26 (Surat al-Furqan and Surat al-Shu’ara)",Purchased,"",Unknown,"",047,qatar_item,bluequran,/img/derivatives/simple/f136_f136_v/thumbnail.jpg,/img/derivatives/simple/f136_f136_v/fullwidth.jpg,/img/derivatives/iiif/f136/manifest.json
f143,"Blue Qur'an, Sura al-Shu’ara, 53-, Aga Khan Museum",Aga Khan Museum,43.7252521,-79.3322231,Canada,Toronto,AKM477,19,26,al-Shu’ara,The Poets,53,"","",https://www.agakhanmuseum.org/collection/artifact/two-folios-from-a-manuscript-known-as-the-blue-qur-an-,"Bifolium
chapters 25 and 26 (Surat al-Furqan and Surat al-Shu’ara)",Purchased,"",Unknown,"",048,qatar_item,bluequran,/img/derivatives/simple/f143_f143_r/thumbnail.jpg,/img/derivatives/simple/f143_f143_r/fullwidth.jpg,/img/derivatives/iiif/f143/manifest.json
f145,"Blue Qur'an, Sura Al-'Ankabut, 51-56, Beit al-Qur'an",Beit al-Qur'an,26.239773,50.5915207,Bahrein,Manama,Unknown,21,29,Al-'Ankabut,The Spider,51,56,"Nawwab 2000
George 2009","","",Purchased,"",Unknown,"",049,qatar_item,bluequran,/img/derivatives/simple/f145/thumbnail.jpg,/img/derivatives/simple/f145/fullwidth.jpg,""
f147,"Blue Qur'an, Sura al-Rum, 25-32, MET",MET,40.7794366,-73.963244,United States of America,New-York City,2004.88,21,30,al-Rum,The Byzantine Empire,25,32,George 2009,https://www.metmuseum.org/art/collection/search/454662,"recto: Quran 30:25ish to 30:28 (ending at ""mar z"")
verso: Quran 30:28 (from ""fntm"") to 30:32 (ending at wa ka)",Gifted,2004,Unknown,"Probably Great Mosque of Qairawan, Tunisia(from about 900); [ Sam Fogg, London, by 2002–4; sold to MMA]",050,qatar_item,bluequran,/img/derivatives/simple/f147_f147_v/thumbnail.jpg,/img/derivatives/simple/f147_f147_v/fullwidth.jpg,/img/derivatives/iiif/f147/manifest.json
f149,"Blue Qur'an, Sura Luqman
al-Sajdah, 34-3, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,21,"31
32","Luqman
al-Sajdah","Luqman
Prostration",34,3,"",https://islamicart.museumwnf.org/database_item.php?id=object;ISL;tn;Mus01;2;en,"suras Luqman (31: 34) and al-Sajdah ('Prostration' 32: 1–3).
67 folios (in total - the other folios' content is unknown)","",1986,Unknown,"After the abolition of the habus foundation in Tunisia, the National Library obtained this Qur'an in 1967. In 1983 it went back to Kairouan, to the Centre of the Islamic Arts and Civilisation of Raqqada. It has been displayed at the Raqqada Museum of Islamic Art since 1986.",051,qatar_item,bluequran,/img/derivatives/simple/f149/thumbnail.jpg,/img/derivatives/simple/f149/fullwidth.jpg,""
us000,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",052,qatar_item,bluequran,/img/derivatives/simple/us000/thumbnail.jpg,/img/derivatives/simple/us000/fullwidth.jpg,""
us001,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",053,qatar_item,bluequran,/img/derivatives/simple/us001/thumbnail.jpg,/img/derivatives/simple/us001/fullwidth.jpg,""
us002,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",054,qatar_item,bluequran,/img/derivatives/simple/us002/thumbnail.jpg,/img/derivatives/simple/us002/fullwidth.jpg,""
us003,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",055,qatar_item,bluequran,/img/derivatives/simple/us003/thumbnail.jpg,/img/derivatives/simple/us003/fullwidth.jpg,""
us004,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",056,qatar_item,bluequran,/img/derivatives/simple/us004/thumbnail.jpg,/img/derivatives/simple/us004/fullwidth.jpg,""
us005,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",057,qatar_item,bluequran,/img/derivatives/simple/us005/thumbnail.jpg,/img/derivatives/simple/us005/fullwidth.jpg,""
us006,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",058,qatar_item,bluequran,/img/derivatives/simple/us006/thumbnail.jpg,/img/derivatives/simple/us006/fullwidth.jpg,""
us007,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",059,qatar_item,bluequran,/img/derivatives/simple/us007/thumbnail.jpg,/img/derivatives/simple/us007/fullwidth.jpg,""
us008,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",060,qatar_item,bluequran,/img/derivatives/simple/us008/thumbnail.jpg,/img/derivatives/simple/us008/fullwidth.jpg,""
us009,"Blue Qur'an, Sura Unknown, Unknown-Unknown, Museum of Islamic Art, Raqqada","Museum of Islamic Art, Raqqada",35.612871,10.0695367,Tunisia,"Raqqada, Kairouan",Rutbi 196,"",Unknown,Unknown,Unknown,Unknown,Unknown,"","",67 folios,"","",Unknown,"",061,qatar_item,bluequran,/img/derivatives/simple/us009/thumbnail.jpg,/img/derivatives/simple/us009/fullwidth.jpg,""
